N Point Point_omp Block Block_external Block_internal
0 0.00 0.00 0.00 0.00 0.00
100 0.00 0.01 0.01 0.00 0.16
200 0.02 0.02 0.12 0.06 0.87
300 0.08 0.04 0.66 0.58 5.97
400 0.16 0.11 2.04 1.11 11.29
500 0.44 0.21 7.28 4.67 28.50

r Block_external Block_internal
10 59.14 46.08 222.60
20 9.61 6.38 38.67
40 1.11 0.79 6.69
50 1.94 0.38 3.83
100 0.33 0.11 0.51
